ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  17:07:11
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  18:20:34
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  18:38:34
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  18:38:48
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  18:39:14
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  12:51:46
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  12:52:48
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  12:54:01
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  12:54:02
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  13:00:05
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-10  -  13:19:35
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  13:19:37
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  14:03:38
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  15:59:35
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  16:08:17
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  16:09:06
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  16:10:48
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-10  -  16:30:31
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-16  -  14:48:14
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  14:48:16
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  14:48:17
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-16  -  14:50:37
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-16  -  15:00:14
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  16:53:47
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  16:53:49
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  17:09:50
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  17:09:52
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  17:28:51
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  17:28:54
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  17:38:31
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  17:38:32
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  17:47:05
